Category,Name,Date,Location,Rating,Review
BBB,Travis P,04/25/2021,N/A,,The PMTI Boot Camp course was such a critical aid in keeping me focused and preparing me the the PMP exam. The instructor was amazing and made it easy for me to follow along in the curriculum which aligned seamlessly with the PMBOK Guide (crucial study material). I passed the exam on my first try and went in feeling confident and ready!	 
BBB,Kathleen E,4/21/2021,N/A,,I had a very good experience with PMTI. Booking the class was easy. I got the materials prior to the class even though I signed up for the class only 3 days before it started. The teacher was very good and was there to answer any questions. I took the class and the test all within 5 weeks and passed with an above target score overall. I would highly recommend PMTI.	 
BBB,Ronda H,4/19/2021,N/A,,"I took the PMP training course back in November 2020. I procrastinated and didn't take the exam. The pandemic hit and everything was shutdown. It's March and I am ready to take the exam, which has changed. I reviewed my materials from the class and due to my thorough boot camp I passed above average in all areas. I would definitely recommend this class if you want to pass the exam.	 "
BBB,Richard M,4/19/2021,N/A,,PMTI is a solid organization with a track record of success. Every Program Manager in the office that has used PMTI has passed the test on their first attempt. 	 
BBB,Nick M,4/19/2021,N/A,,This program set me up for success. I was able to pass the first time going through course and completing practice exams. Thanks again! 	 
BBB,Wendy H,4/17/2021,N/A,,I highly recommend PMTI to anyone who is interested in getting their PMP certification. The boot-camp and instructor really helped prepared me for the exam. 	 
BBB,Kevin H,4/16/2021,N/A,,"The PMTI Virtual Bootcamp provided the right amount and type of instruction that allowed me to not only prepare for and pass the test, but it provided general knowledge and tools that I plan to use in my professional life as well. I found that the key to my success was the multiple delivery methods that included the classes, practice exams, reviews, and printed materials. PMTI was there to help every step of the way with anything I needed. 	 "
BBB,Joey J,4/16/2021,N/A,,"PMTI was a great help in me passing the exam, the support was great and the boot camp was extremely helpful in my success. 	 "
BBB,Latoya D,4/15/2021,N/A,,"I took the PMP in 2019 and I did not pass. I was nervous to take it again because the test changed. With the help of the PMTI 4 day boot-camp and instructor John S, I was able to come up to speed quickly and score above target in all 3 Process Groups. I highly recommend PMTI. If you follow their strategy and put in the work I strongly believe you will get passing results. 	 "
BBB,Terri O,4/15/2021,N/A,,"This program was the key success for passing the exam. From reviewing my application before submission, 4 day comprehensive boot camp to strategy for prepping for exam. I followed their instructions and I know this helped me pass the exam. I highly recommend PMTI for PMP exam prep, you won't regret it! 	 "
BBB,Steven H,4/13/2021,N/A,,The Bootcamp PMTI is super helpful in preparing for the exam. I would encourage anybody wanting to take the test to attend the PMP Bootcamp first. 	 
BBB,Mubah A,4/12/2021,N/A,,PMTI provided a great boot-camp course in preparation to obtain my PMP. I was successfully able to receive my PMP within the same week of taking the course. They provided a great foundation/bridge for me to know where my studying was prior to going for the exam. 	 
