Near By ma,,location id,location id,location id,,,,,
205,Albany (NY),55,40,29,,,,,
196,Albuquerque (NM),88,80,50,125,,,,
81,Alexandria (VA),20,156,90,157,,,,
122,Anaheim (CA),121,32,87,88,82,25,,
229,Anchorage (AK),30,,,,,,,
156,Arlington (VA),53,157,86,93,81,90,,
18,Atlanta (GA),207,105,51,230,,,,
101,Austin (TX),198,125,41,,,,,
114,Baltimore (MD),99,20,,,,,,
29,Boston (MA),55,40,184,186,195,,,
230,Charleston (SC),18,207,105,51,,,,
105,Charlotte (NC),18,207,230,51,,,,
38,Chicago (IL),16,212,115,139,,,,
124,Cincinnati (OH),16,132,99,147,123,225,,
132,Cleveland (OH),16,124,99,147,123,225,,
99,Columbia (MD) ,114,20,156,90,157,,,
147,Columbus (OH),16,132,99,124,123,225,,
125,Dallas (TX),198,101,41,,,,,
123,Dayton (OH),16,132,99,147,124,,,
80,Denver (CO),125,196,50,,,,,
16,Detroit (MI),38,212,115,139,132,99,147,123
195,Edison (NJ),29,55,40,184,186,,,
90,Fairfax (VA),20,156,81,157,,,,
148,Fort Lauderdale (FL),239,28,118,206,133,,,
135,Hartford (CT),55,29,40,,,,,
170,Honolulu (Hi),88,,,,,,,
41,Houston (TX),198,101,125,,,,,
293,Huntington (WV),134,100,,,,,,
207,Huntsville (AL),18,105,51,230,,,,
204,Indianapolis  (IN),16,212,115,139,38,,,
121,Irvine (CA),122,32,87,88,82,25,,
118,Jacksonville(FL),239,28,148,206,133,,,
227,Kansas City (MO),140,204,16,147,38,125,,
39,Las Vegas (NV),125,88,80,50,125,196,,
32,Los Angeles (CA),121,122,87,88,82,25,,
134,Louisville (KY),293,100,,,,,,
212,Madison (WI),16,38,115,139,,,,
53,Manassas (VA),20,156,90,157,,,,
100,Memphis (TN),293,134,138,,,,,
206,Miami (FL),239,28,118,148,133,,,
139,Milwaukee (WI),16,212,115,38,,,,
115,Minneapolis (MN),16,212,139,38,,,,
138,Nashville (TN),293,134,100,,,,,
236,New Orleans (LA),198,101,125,41,,,,
55,New York (NY),29,40,184,186,195,,,
95,Oklahoma City (OK),198,101,125,41,,,,
234,Omaha (NE),140,204,16,147,38,125,,
91,Online,,,,,,,,
133,Orlando (FL),239,28,118,206,148,,,
186,Parsippany (NJ),55,40,184,29,195,,,
40,Philadelphia (PA),55,186,184,29,195,,,
50,Phoenix (AZ),88,80,196,125,,,,
225,Pittsburgh (PA),16,132,99,124,123,147,,
84,Portland (OR),30,82,25,,,,,
184,Princeton (NJ),55,186,40,29,195,,,
51,Raleigh (NC),207,105,18,230,,,,
157,Reston (VA),20,156,90,81,,,,
86,Richmond (VA),20,156,90,81,157,,,
94,Rockville (MD),114,20,156,90,157,,,
87,Sacramento (CA),121,32,122,88,82,25,,
214,Salt Lake City (UT),125,196,50,80,,,,
198,San Antonio (TX),41,101,125,,,,,
88,San Diego (CA),121,32,122,87,82,25,,
82,San Francisco (CA),121,32,122,87,88,25,,
25,San Jose (CA),121,32,122,87,88,82,,
30,Seattle (WA),121,32,122,87,88,82,84,
179,Simi Valley (CA),121,32,122,87,88,82,84,
140,St. Louis (MO),16,212,115,139,38,,,
239,Tallahassee (FL),133,28,118,206,148,,,
28,Tampa (FL),239,28,118,206,148,,,
93,Tysons Corner (VA),20,156,90,157,81,,,
20,Washington (DC),93,156,90,157,81,,,
,,,,,,,,,
,,,,,,,,,
class display should be order by class start date not on class od or class location or location id.,,,,,,,,,
